EP ID,Home LC,Home MC,Home Region,Host LC,Host MC,Host Region,Date Break RE
37590060ab598973cc555c556f4a7e15,DRESDEN,Germany,Europe,BRASÍLIA,Brazil,Americas,2020-04-05 06:49
d19d68f37af4f415e819839a07266386,TUNJA,Colombia,Americas,MANAUS,Brazil,Americas,2020-02-07 06:01
763eb96b1acb86c71de6de2443723b29,MAGDEBURG,Germany,Europe,ANCONA,Italy,Europe,2020-03-19 16:02
5647468556973518952b27e44ac76b2c,MAINZ - WIESBADEN,Germany,Europe,VITÓRIA,Brazil,Americas,2020-04-07 00:26
3ed2095c7a82e1a53fcc528b201c39b1,Santa Marta,Colombia,Americas,VITÓRIA,Brazil,Americas,2020-04-29 03:39
5683381e90530c90cbac4ce8c6aea2fe,PASTO,Colombia,Americas,La Salle,Mexico,Americas,2020-04-04 05:10
57dd59e9ddcf50dfe8524e54a9ac234b,TUNJA,Colombia,Americas,VITÓRIA,Brazil,Americas,2020-04-16 21:50
3b1e7725b5789ccf3370bcad8b763d4b,MUENSTER,Germany,Europe,SALVADOR,Brazil,Americas,2020-05-11 02:34
c4eb8f3546353f122d5b34419f0b0792,BRAUNSCHWEIG,Germany,Europe,Marrakech,Morocco,Middle East and Africa,2020-04-09 19:28
f0603a8dd76ca55eef9116584aa3287f,Benak,Algeria,Middle East and Africa,BURSA,Turkey,Europe,2020-05-10 02:52
c10cee681951464643d3ca0e98a356de,BELO HORIZONTE,Brazil,Americas,MC Spain,Spain,Europe,2020-04-11 19:37
bdbacf6dc13193ba9111feb7ed3bf42e,MC Paraguay,Paraguay,Americas,BLUMENAU,Brazil,Americas,2020-04-02 15:18
b4fe931f76374849eaea8ed20c51230f,UNINORTE,Colombia,Americas,SALVADOR,Brazil,Americas,2020-06-05 01:16
93fff7002407c397486bebd85a407d21,BRASÍLIA,Brazil,Americas,Cúcuta,Colombia,Americas,2020-05-12 03:17
ef79944c3e9ae6587a7abe1be807a641,Bahía Blanca,Argentina,Americas,Chiclayo,Peru,Americas,2020-04-17 04:56
c8f3f1a50e93c75012c1ef53357fe234,SANTA MARIA,Brazil,Americas,Neiva,Colombia,Americas,2020-05-16 01:56
c31290fe943cea8dd69eb235e84aa452,ABIDJAN SUD,Cote D'Ivoire,Middle East and Africa,Hyderabad,India,Asia Pacific,2020-09-14 14:07
4bce8ddecf16f1372e7b95bb20363e2c,TIMISOARA,Romania,Europe,Oulu,Finland,Europe,2020-04-04 19:57
58b72dc26f79f40d5909ef5fe930aceb,Aalborg,Denmark,Europe,FLORIANÓPOLIS,Brazil,Americas,2020-04-01 17:03
413aab205a8c8cff14442c184f8420e8,Aalborg,Denmark,Europe,FLORIANÓPOLIS,Brazil,Americas,2020-04-01 17:04
68b7d3521abec8dddd278eb8044f5510,SANTA MARIA,Brazil,Americas,Mendoza,Argentina,Americas,2020-02-07 06:00
334d017776e921018dbb93fbb04dafeb,Icesi (Cali),Colombia,Americas,VITÓRIA,Brazil,Americas,2020-04-04 05:09
7f3fa315b3997174b303db469cb493f3,ROSARIO,Colombia,Americas,ISTANBUL WEST,Turkey,Europe,2020-04-14 03:37
08615e2d9a3d400f19769af937d5c2dd,SOPHIA UNIVERSITY,Japan,Asia Pacific,SAO JOSÉ DO RIO PRETO,Brazil,Americas,2020-05-26 01:56
ae9b7fdbf3e687eab5eed4e7a60d988f,MUENSTER,Germany,Europe,UB,Indonesia,Asia Pacific,2020-04-17 23:30
